milestone,cohort,label,level,example
PLANNING,DEFAULT,Planning and Coordination,2,Defines and hits interim milestones
PLANNING,DEFAULT,Planning and Coordination,2,Realizes when progress toward desired results is stalling and takes action to get things back on track
PLANNING,DEFAULT,Planning and Coordination,2,Researches and considers alternative approaches
PLANNING,DEFAULT,Planning and Coordination,2,Devotes time to find the most effective ways to meet commitments
PLANNING,DEFAULT,Planning and Coordination,3,Integrates business needs into project planning
PLANNING,DEFAULT,Planning and Coordination,3,"Can smoothly and successfully execute an initiative, set milestones for a team, and proactively ensure all core goals are achieved even if plans need to be changed to do so"
PLANNING,DEFAULT,Planning and Coordination,3,"Prioritizes the most important work for the company, team, and client"
PLANNING,DEFAULT,Planning and Coordination,3,Delegates tasks to others appropriately
PLANNING,DEFAULT,Planning and Coordination,3,Adapts and changes direction quickly based on shifting company and project needs
PLANNING,DEFAULT,Planning and Coordination,3,"When working on more than one or a portfolio of projects, is constantly aware of the bigger picture and what impact it has on planning work and managing one’s time"
PLANNING,DEFAULT,Planning and Coordination,4,"Successfully plans and executes projects involving multiple stakeholders and complex requirements, while prioritizing strategically"
PLANNING,DEFAULT,Planning and Coordination,4,"Leads teams of teams, and coordinates effective cross-functional collaboration"
PLANNING,DEFAULT,Planning and Coordination,4,Manages dependencies on their other projects and team commitments
PLANNING,DEFAULT,Planning and Coordination,4,Helps define the vision for long-term projects and enable others to participate in their design and implementation
PLANNING,DEFAULT,Planning and Coordination,4,Is proactive in identifying and planning for needs both in the near- and long-term for Palantir and our clients
PLANNING,DEFAULT,Planning and Coordination,4,Provides clarity in order to prioritize the most important work for the project and the company
PLANNING,DEFAULT,Planning and Coordination,4,Leverages repeated project patterns of what’s working and works to mitigate what's not
PLANNING,DEFAULT,Planning and Coordination,4,Works at all levels of the organization to positively impact the team and deliver client value
PLANNING,DEFAULT,Planning and Coordination,4,Improves team inclusivity
PLANNING,DEFAULT,Planning and Coordination,5,"Plans and executes large, complex projects with interdependencies across teams and systems"
PLANNING,DEFAULT,Planning and Coordination,5,"Considers constraints, opportunities, and business objectives when planning"
PLANNING,DEFAULT,Planning and Coordination,5,Successfully supports and guides others to make plans for complex efforts that start out with unclear or competing goals
PLANNING,DEFAULT,Planning and Coordination,5,Supports teams in making difficult decisions when there are multiple paths/options to take
PLANNING,DEFAULT,Planning and Coordination,5,Leads projects or initiatives that are critical to the future of Palantir
COMMUNICATION,DEFAULT,Communication and Co-Creation,1,Communicates their work status clearly and effectively to internal team members and client stakeholders
COMMUNICATION,DEFAULT,Communication and Co-Creation,1,Writes clear comments and documentation
COMMUNICATION,DEFAULT,Communication and Co-Creation,1,Presents their work to the client with coaching
COMMUNICATION,DEFAULT,Communication and Co-Creation,1,Is learning to work collaboratively on a self-organizing team and speak up in meetings
COMMUNICATION,DEFAULT,Communication and Co-Creation,1,Proactively asks questions and reaches out for help to get unblocked
COMMUNICATION,DEFAULT,Communication and Co-Creation,1,"Voices concerns or need for clarification to their project teams and, if necessary, escalates concerns to discipline leaders or POD representatives"
COMMUNICATION,DEFAULT,Communication and Co-Creation,1,Is developing the ability to communicate complicated concepts simply and successfully to an audience unfamiliar with the subject matter
COMMUNICATION,DEFAULT,Communication and Co-Creation,1,Accepts feedback graciously and learns from experience
COMMUNICATION,DEFAULT,Communication and Co-Creation,1,Is learning about other disciplines at Palantir and how they deliver value to the team and to clients
COMMUNICATION,DEFAULT,Communication and Co-Creation,2,"Communicates clearly at team and client-facing meetings (e.g., escalating blockers quickly, clarifying requirements, and sharing assumptions)"
COMMUNICATION,DEFAULT,Communication and Co-Creation,2,"Adapts messages for a diverse audience, choosing appropriate tools and approaches for accurate and timely communication"
COMMUNICATION,DEFAULT,Communication and Co-Creation,2,Presents effectively to familiar audiences
COMMUNICATION,DEFAULT,Communication and Co-Creation,2,Presents their work to the client without coaching
COMMUNICATION,DEFAULT,Communication and Co-Creation,2,Takes initiative to lend their expertise as part of a self-organizing team
COMMUNICATION,DEFAULT,Communication and Co-Creation,3,"Communicates issues, risks, and decisions clearly and proactively to a cross-functional audience, effectively managing conversations related to bad news or conflict"
COMMUNICATION,DEFAULT,Communication and Co-Creation,3,"Builds cross-functional relationships with project team, chapter members, and clients"
COMMUNICATION,DEFAULT,Communication and Co-Creation,3,Seeks to understand other points of view
COMMUNICATION,DEFAULT,Communication and Co-Creation,3,"Engages in productive dialogue even when there are conflicting views, both inside and outside the team Mastering the ability to communicate complicated concepts simply and successfully to ensure understanding and appropriate action."
COMMUNICATION,DEFAULT,Communication and Co-Creation,3,Presents effectively to audiences both familiar and unfamiliar
COMMUNICATION,DEFAULT,Communication and Co-Creation,3,Makes room for others on self-organizing teams and knows when to lend their expertise
COMMUNICATION,DEFAULT,Communication and Co-Creation,3,Communicates complicated concepts simply and successfully to an audience unfamiliar with the subject matter
COMMUNICATION,DEFAULT,Communication and Co-Creation,4,Communicates complex concepts and issues and easily makes compelling presentations to sophisticated audiences
COMMUNICATION,DEFAULT,Communication and Co-Creation,4,"Works effectively with key stakeholders to solve problems, identify paths forward, and/or make critical project decisions"
COMMUNICATION,DEFAULT,Communication and Co-Creation,4,Deescalates conflicts and builds bridges between team members
COMMUNICATION,DEFAULT,Communication and Co-Creation,4,Holds others and themselves accountable for their commitments and results
COMMUNICATION,DEFAULT,Communication and Co-Creation,4,Spurs and facilitates meaningful discussion around complex issues
COMMUNICATION,DEFAULT,Communication and Co-Creation,4,Offers insightful perspectives
COMMUNICATION,DEFAULT,Communication and Co-Creation,4,"Works towards consensus when making decisions, discerning what’s best for the project, client, and team"
COMMUNICATION,DEFAULT,Communication and Co-Creation,4,Takes initiative to help outside of direct responsibilities
COMMUNICATION,DEFAULT,Communication and Co-Creation,4,Knows when to “step up or step back” on self-organizing teams
COMMUNICATION,DEFAULT,Communication and Co-Creation,5,Comfortably communicates and presents complex issues to diverse audiences inside and outside the company
COMMUNICATION,DEFAULT,Communication and Co-Creation,5,"Ensures productive communication among teams and stakeholders, including the right people at the right times"
COMMUNICATION,DEFAULT,Communication and Co-Creation,5,Proactively identifies and remedies communication gaps and issues
COMMUNICATION,DEFAULT,Communication and Co-Creation,5,"Is relied upon as one of the best communicators of complicated subjects, trade-offs, and difficult decisions"
COMMUNICATION,DEFAULT,Communication and Co-Creation,5,Clearly communicates company-level objectives and how they relate to experiments and initiatives
PROFESSIONALISM,DEFAULT,Professionalism,1,"Exhibits Palantir’s core values of collaboration, bringing out the best in each other—curiosity, thinking ahead, and accessibility"
PROFESSIONALISM,DEFAULT,Professionalism,1,Brings their best self to work and makes space for others to do so as well
PROFESSIONALISM,DEFAULT,Professionalism,1,Treats clients and colleagues with respect
PROFESSIONALISM,DEFAULT,Professionalism,1,Takes responsibility for their own words and actions
PROFESSIONALISM,DEFAULT,Professionalism,1,Effectively deals with and understands opposing views and is open to learning from feedback
PROFESSIONALISM,DEFAULT,Professionalism,1,Objectively evaluates whether they’ve met their goals
PROFESSIONALISM,DEFAULT,Professionalism,1,Is viewed as a trustworthy team member who keeps their commitments
PROFESSIONALISM,DEFAULT,Professionalism,2,Quickly integrates complicated information to identify strategies and solutions with the assistance of teammates and senior colleagues
PROFESSIONALISM,DEFAULT,Professionalism,2,Demonstrates keen insights into situations
PROFESSIONALISM,DEFAULT,Professionalism,2,Demonstrates a sense of agency
PROFESSIONALISM,DEFAULT,Professionalism,2,Accepts difficult tasks and gets right to work
PROFESSIONALISM,DEFAULT,Professionalism,2,Responds flexibly and strategically to ongoing change
PROFESSIONALISM,DEFAULT,Professionalism,2,"Trusts teammates, assumes positive intent, and is able to disagree and commit"
PROFESSIONALISM,DEFAULT,Professionalism,2,Is able to deliver their work despite inevitable distractions
PROFESSIONALISM,DEFAULT,Professionalism,2,Exhibits a growth mindset in regards to feedback
PROFESSIONALISM,DEFAULT,Professionalism,3,Is aware of their own strengths and weaknesses
PROFESSIONALISM,DEFAULT,Professionalism,3,Helps others identify the desired results of their assignments
PROFESSIONALISM,DEFAULT,Professionalism,3,Gives thoughtful feedback as a domain expert
PROFESSIONALISM,DEFAULT,Professionalism,3,Adopts a proactive approach instead of a reactive one
PROFESSIONALISM,DEFAULT,Professionalism,3,Demonstrates critical inquiry
PROFESSIONALISM,DEFAULT,Professionalism,3,Demonstrates humility and patience
PROFESSIONALISM,DEFAULT,Professionalism,3,Promotes exploration and experimentation as a response to uncertainty
PROFESSIONALISM,DEFAULT,Professionalism,3,Leads/facilitates client presentations
PROFESSIONALISM,DEFAULT,Professionalism,3,Coaches others who need guidance presenting their work
PROFESSIONALISM,DEFAULT,Professionalism,3,Celebrates and shares success with the team
PROFESSIONALISM,DEFAULT,Professionalism,4,Moves through the change curve with positivity and intention
PROFESSIONALISM,DEFAULT,Professionalism,4,"Creates space for everyone at Palantir to contribute, supporting growth of team members"
PROFESSIONALISM,DEFAULT,Professionalism,4,Uses their position to raise difficult issues on behalf of others
PROFESSIONALISM,DEFAULT,Professionalism,5,Has a holistic vision of their role
PROFESSIONALISM,DEFAULT,Professionalism,5,Creates an organizational framework that facilitates a positive work environment
PROFESSIONALISM,DEFAULT,Professionalism,5,"Helps others to move through the change curve, from resistors to adopters"
PROFESSIONALISM,DEFAULT,Professionalism,5,Has energy and energizes those around them
PROFESSIONALISM,DEFAULT,Professionalism,5,"Sets the tone and influences policies to further an open, diverse, and inclusive Palantir"
PROFESSIONALISM,DEFAULT,Professionalism,5,Models professionalism and cultivates it in others
INITIATIVE,DEFAULT,Initiative,1,"Is becoming comfortable owning small tasks, but proactively engages with more experienced teammates when tackling larger issues"
INITIATIVE,DEFAULT,Initiative,1,Contributes their talent and expertise without prompting to achieve project results
INITIATIVE,DEFAULT,Initiative,1,Asks their team probing questions to understand other points of view
INITIATIVE,DEFAULT,Initiative,2,Works efficiently and puts in the time and effort necessary to deliver great outcomes
INITIATIVE,DEFAULT,Initiative,2,"Regularly leads smaller projects or tasks, but relies on more experienced teammates when working on major project investments"
INITIATIVE,DEFAULT,Initiative,2,Seeks insights from others to help problem-solve project ambiguity
INITIATIVE,DEFAULT,Initiative,2,Proactively takes on executable tasks when blocked elsewhere
INITIATIVE,DEFAULT,Initiative,2,Proactively seeks help when blocked
INITIATIVE,DEFAULT,Initiative,2,Consistently delivers on reasonably well-defined projects
INITIATIVE,DEFAULT,Initiative,3,Leads small and medium-sized projects
INITIATIVE,DEFAULT,Initiative,3,Takes ownership of tasks that nobody owns or wants
INITIATIVE,DEFAULT,Initiative,3,Seeks out others involved in a situation to learn their perspectives
INITIATIVE,DEFAULT,Initiative,3,Leaves things better than when they found them
INITIATIVE,DEFAULT,Initiative,3,Relied on to remove blockers for others
INITIATIVE,DEFAULT,Initiative,3,Demonstrates the ability to handle major tasks from definition through execution with consistently successful outcomes
INITIATIVE,DEFAULT,Initiative,4,"Takes on a leadership role of multiple, large projects or initiatives"
INITIATIVE,DEFAULT,Initiative,4,Develops and tests new ways to solve systemic issues
INITIATIVE,DEFAULT,Initiative,4,Improves complicated organizational processes
INITIATIVE,DEFAULT,Initiative,4,Works with ambiguity and a growth mindset
INITIATIVE,DEFAULT,Initiative,4,Exemplifies grit and determination in the face of persistent obstacles
INITIATIVE,DEFAULT,Initiative,4,Is integral to major new company-wide initiatives
INITIATIVE,DEFAULT,Initiative,4,Seeks creative and innovative ways to improve and develop what they are doing
INITIATIVE,DEFAULT,Initiative,4,Effectively copes with change
INITIATIVE,DEFAULT,Initiative,5,Champions and initiates new approaches and ideas to solve new classes of problems
INITIATIVE,DEFAULT,Initiative,5,Initiates major new company-wide initiatives
INITIATIVE,DEFAULT,Initiative,5,Galvanizes the entire company and garners buy-in for new strategies
INITIATIVE,DEFAULT,Initiative,5,Improves complex organizational processes
INITIATIVE,DEFAULT,Initiative,5,Defines policies for the company that encourage quality work and maximize client value
INITIATIVE,DEFAULT,Initiative,5,Identifies and eliminates single points of failure throughout the organization
INITIATIVE,DEFAULT,Initiative,5,Secures time and resources from executive leadership to deliver great quality
LEARNING,DEFAULT,Learning and Career Development,1,Shares their career and professional development interests and goals with their POD
LEARNING,DEFAULT,Learning and Career Development,1,Takes advantage of professional development opportunities
LEARNING,DEFAULT,Learning and Career Development,1,Shares opportunities for improvements and recognizes achievements for themselves and others
LEARNING,DEFAULT,Learning and Career Development,1,Shares learnings from previous projects with project teams
LEARNING,DEFAULT,Learning and Career Development,1,"Collects and delivers feedback in a timely, constructive manner"
LEARNING,DEFAULT,Learning and Career Development,2,Embraces big challenges as opportunities for growth and learning
LEARNING,DEFAULT,Learning and Career Development,2,Helps a group member have an appropriate role on the team
LEARNING,DEFAULT,Learning and Career Development,2,Understands and can communicate the value of the work done by each of their coworkers on the project
LEARNING,DEFAULT,Learning and Career Development,2,Pursues learning goals on project teams
LEARNING,DEFAULT,Learning and Career Development,2,"Contributes to Palantir’s sustainable and repeatable processes by sharing knowledge (e.g., through blog posts, contributing to Playbooks, etc.)"
LEARNING,DEFAULT,Learning and Career Development,2,Works closely with others to help them learn new skills or continue to improve skills
LEARNING,DEFAULT,Learning and Career Development,2,"Seeks feedback to improve and receives it well. Give timely, helpful feedback to peers"
LEARNING,DEFAULT,Learning and Career Development,3,Advocates for aligning people with appropriate roles within organization
LEARNING,DEFAULT,Learning and Career Development,3,"May participate in the hiring process, meeting with candidates and offering thoughts to the discipline/hiring lead"
LEARNING,DEFAULT,Learning and Career Development,3,Fosters a psychologically safe environment for dialogue and learning
LEARNING,DEFAULT,Learning and Career Development,3,Helps others achieve learning goals on project teams
LEARNING,DEFAULT,Learning and Career Development,4,Facilitates conversations that are aimed at co-creation
LEARNING,DEFAULT,Learning and Career Development,4,Is a POD representative successful at fulfilling those duties
LEARNING,DEFAULT,Learning and Career Development,4,Helps the team plan and implement discipline-related learning activities
LEARNING,DEFAULT,Learning and Career Development,4,Discusses career paths and helps create plans for others' professional growth
LEARNING,DEFAULT,Learning and Career Development,4,Advocates for aligning people with appropriate roles within organization
LEARNING,DEFAULT,Learning and Career Development,4,Elevates emerging leaders
LEARNING,DEFAULT,Learning and Career Development,5,Identifies leadership development opportunities for senior leadership
LEARNING,DEFAULT,Learning and Career Development,5,"Pushes everyone to be as good as they can be, with empathy"
LEARNING,DEFAULT,Learning and Career Development,5,Provides coaching to group leaders
LEARNING,DEFAULT,Learning and Career Development,5,Supports and develops senior leaders
LEARNING,DEFAULT,Learning and Career Development,5,Serves as an advisor to company leaders
MENTORSHIP,DEFAULT,Mentorship and Coaching,1,Asks for support and advice
MENTORSHIP,DEFAULT,Mentorship and Coaching,1,Open to giving and receiving feedback
MENTORSHIP,DEFAULT,Mentorship and Coaching,1,Is reflective about their experiences
MENTORSHIP,DEFAULT,Mentorship and Coaching,1,Comfortable sharing their opinions and experiences to further a project team’s health
MENTORSHIP,DEFAULT,Mentorship and Coaching,1,Acts as an onboarding buddy
MENTORSHIP,DEFAULT,Mentorship and Coaching,2,Takes time to understand and explain concepts and best practices
MENTORSHIP,DEFAULT,Mentorship and Coaching,2,Helps others identify the desired results of their assignments
MENTORSHIP,DEFAULT,Mentorship and Coaching,2,Makes themself available for informal support and advice
MENTORSHIP,DEFAULT,Mentorship and Coaching,2,Provides sound advice when asked
MENTORSHIP,DEFAULT,Mentorship and Coaching,2,"Offers unprompted feedback to help growth, with empathy"
MENTORSHIP,DEFAULT,Mentorship and Coaching,2,Avoids siloing information when it can be usefully shared with others
MENTORSHIP,DEFAULT,Mentorship and Coaching,2,Finds ways to ramp up and engage new team members
MENTORSHIP,DEFAULT,Mentorship and Coaching,2,Creates space for people to talk through challenges
MENTORSHIP,DEFAULT,Mentorship and Coaching,2,Acts as a positive role model
MENTORSHIP,DEFAULT,Mentorship and Coaching,3,"Holds others accountable for their commitments, results, and successful outcomes"
MENTORSHIP,DEFAULT,Mentorship and Coaching,3,"Asks questions to illuminate concepts, rather than stating them"
MENTORSHIP,DEFAULT,Mentorship and Coaching,3,Uses lessons learned to guide individuals and teams
MENTORSHIP,DEFAULT,Mentorship and Coaching,3,Finds approaches that work best for a team member's personality
MENTORSHIP,DEFAULT,Mentorship and Coaching,3,"Brings resources, critical readings, opportunities, or experiences to the attention of others"
MENTORSHIP,DEFAULT,Mentorship and Coaching,3,Acts as a sounding board for peers and more junior team members
MENTORSHIP,DEFAULT,Mentorship and Coaching,3,Provides help on how to have difficult conversations
MENTORSHIP,DEFAULT,Mentorship and Coaching,3,Knows the difference between mentoring and coaching
MENTORSHIP,DEFAULT,Mentorship and Coaching,3,"Gives feedback that describes the situation, behavior, and impact (SBI model)"
MENTORSHIP,DEFAULT,Mentorship and Coaching,3,"Asks powerful, open-ended questions to help other problem solve and envision future states"
MENTORSHIP,DEFAULT,Mentorship and Coaching,4,Identifies gaps in team learning/knowledge and finds ways to bridge those gaps
MENTORSHIP,DEFAULT,Mentorship and Coaching,4,Models positive mentoring and teaching behaviors
MENTORSHIP,DEFAULT,Mentorship and Coaching,4,Provides discipline/cohort support and/or facilitation
MENTORSHIP,DEFAULT,Mentorship and Coaching,4,Exhibits enthusiasm for sharing their knowledge and expertise
MENTORSHIP,DEFAULT,Mentorship and Coaching,4,Helps individuals find new and challenging opportunities within the organization
MENTORSHIP,DEFAULT,Mentorship and Coaching,4,Helps individuals maintain resilience in periods of change
MENTORSHIP,DEFAULT,Mentorship and Coaching,4,Shares knowledge and expertise with the team through formal mentoring and coaching
MENTORSHIP,DEFAULT,Mentorship and Coaching,5,Helps others maximize their potential through mentorship and coaching
MENTORSHIP,DEFAULT,Mentorship and Coaching,5,Empowers team members to develop themselves
MENTORSHIP,DEFAULT,Mentorship and Coaching,5,"Leads others through change, providing scaffolding to empower and support others"
MENTORSHIP,DEFAULT,Mentorship and Coaching,5,Models productive and healthy mentor relationships
MENTORSHIP,DEFAULT,Mentorship and Coaching,5,Seeks out experiments and innovative learning practices that are beneficial to and to Palantir
MENTORSHIP,DEFAULT,Mentorship and Coaching,5,Helps individuals to move out of their comfort zone and try new things
MENTORSHIP,DEFAULT,Mentorship and Coaching,5,Is a sought after coach and mentor
COMPLEXITY,DEFAULT,Navigating Complexity,1,"Understands the difference between complexity domains (i.e. obvious, complicated, complex, chaos, disorder)"
COMPLEXITY,DEFAULT,Navigating Complexity,1,Operates successfully in obvious domain with little or no supervision
COMPLEXITY,DEFAULT,Navigating Complexity,1,Is gaining an understanding of and experience with best practices (the complicated domain)
COMPLEXITY,DEFAULT,Navigating Complexity,1,"Once made aware, adjusts approach to meet client needs in a changing system"
COMPLEXITY,DEFAULT,Navigating Complexity,2,"Knows in which complexity domain (obvious, complicated, complex, chaos, disorder) they are working"
COMPLEXITY,DEFAULT,Navigating Complexity,2,Operates successfully in complicated domain with little or no supervision
COMPLEXITY,DEFAULT,Navigating Complexity,2,Identifies and deals with complicated situations to provide the best possible solutions
COMPLEXITY,DEFAULT,Navigating Complexity,2,Applies best practices to the situation at hand (the complicated domain)
COMPLEXITY,DEFAULT,Navigating Complexity,2,Adjusts approach to meet client needs in a changing system between the obvious and complicated domains
COMPLEXITY,DEFAULT,Navigating Complexity,2,"Recognizes when in the complex, chaotic or disorderly domains and brings it to the attention of project leaders to seek their assistance"
COMPLEXITY,DEFAULT,Navigating Complexity,3,"Guides others to understand in which complexity domain (obvious, complicated, complex, chaos, disorder) they are working"
COMPLEXITY,DEFAULT,Navigating Complexity,3,Operates successfully in complex domain with little or no supervision
COMPLEXITY,DEFAULT,Navigating Complexity,3,Identifies “known unknowns”
COMPLEXITY,DEFAULT,Navigating Complexity,3,Adapts best practices when called for in the complicated domain
COMPLEXITY,DEFAULT,Navigating Complexity,3,Able to adjust approach to meet client needs in a changing system between the complicated and complex domains
COMPLEXITY,DEFAULT,Navigating Complexity,3,Recognizes when in the complex domain and able to make recommendations to the internal and client teams
COMPLEXITY,DEFAULT,Navigating Complexity,3,"When in a leadership role on a project, does not micromanage other team members and is able to guide them through solutions to issues that arise in the obvious, complicated, and complex domains"
COMPLEXITY,DEFAULT,Navigating Complexity,4,Investigates issues as they arise in order to respond appropriately
COMPLEXITY,DEFAULT,Navigating Complexity,4,"In the complicated domain, chooses between multiple “right” answers to the problem at hand and provide rationale for the decision(s)"
COMPLEXITY,DEFAULT,Navigating Complexity,4,Has a reservoir of experiences in complicated and complex situations from which to draw when answers are not clear
COMPLEXITY,DEFAULT,Navigating Complexity,4,Coaches others to find creative solutions to complex problems
COMPLEXITY,DEFAULT,Navigating Complexity,4,High tolerance for risk
COMPLEXITY,DEFAULT,Navigating Complexity,4,Holds and shares relevant industry leading practices
COMPLEXITY,DEFAULT,Navigating Complexity,4,Understands and shares institutional knowledge
COMPLEXITY,DEFAULT,Navigating Complexity,4,"Seeks to cultivate innovation in the face of uncertainty, both internally and externally"
COMPLEXITY,DEFAULT,Navigating Complexity,4,Offers new perspectives to overcome complexity constraints
COMPLEXITY,DEFAULT,Navigating Complexity,4,Selects systems thinking approaches to fit with the level of complexity and the nature of the environment
COMPLEXITY,DEFAULT,Navigating Complexity,4,"When faced with uncertainty, uses an inclusive leadership approach and does not revert to traditional command and control methods"
COMPLEXITY,DEFAULT,Navigating Complexity,5,Makes sense of complex data and inputs
COMPLEXITY,DEFAULT,Navigating Complexity,5,Guides others in the complex domain to choose between multiple “right” answers to the problem at hand and provide rationale for the decision(s)
COMPLEXITY,DEFAULT,Navigating Complexity,5,Builds the capacity in others to cope with complexity and chaos
COMPLEXITY,DEFAULT,Navigating Complexity,5,Functions at a high level when faced with “unknown unknowns”
COMPLEXITY,DEFAULT,Navigating Complexity,5,Sought after resource and expert in complex situations when answers are not clear
COMPLEXITY,DEFAULT,Navigating Complexity,5,"When faced with chaos, realizes their management style needs to change and is able to make difficult decisions with little information"
CLIENT_VALUE,DEFAULT,Client Value,1,Understands the difference between Palantir service lines
CLIENT_VALUE,DEFAULT,Client Value,1,Ensures that they are meeting team expectations on ticketed work
CLIENT_VALUE,DEFAULT,Client Value,1,"When they see an issue that would impede delivering client value, they raise the issue to project leadership"
CLIENT_VALUE,DEFAULT,Client Value,1,Offers solutions to project leadership when issues arise
CLIENT_VALUE,DEFAULT,Client Value,1,"Asks focused, relevant questions of the client and the team"
CLIENT_VALUE,DEFAULT,Client Value,1,Demonstrates active listening skills
CLIENT_VALUE,DEFAULT,Client Value,2,"Is aware of the three types of consulting (i.e. Expert, Collaborative, Pair of Hands) and knows in which one they are operating"
CLIENT_VALUE,DEFAULT,Client Value,2,Helps others identify solutions to client issues that arise
CLIENT_VALUE,DEFAULT,Client Value,2,Able to articulate the “why” or rationale behind each ticket/task on which they are working
CLIENT_VALUE,DEFAULT,Client Value,2,Understands the project’s KPIs (Key Performance Indicators) and works towards implementing solutions in support of them
CLIENT_VALUE,DEFAULT,Client Value,2,Contributes questions to the discovery process that reveal espoused v. actual need
CLIENT_VALUE,DEFAULT,Client Value,2,Leverages learnings from previous projects to benefit the team and the client
CLIENT_VALUE,DEFAULT,Client Value,2,Presents their own work
CLIENT_VALUE,DEFAULT,Client Value,2,Understands their communication style and is aware of the styles of others
CLIENT_VALUE,DEFAULT,Client Value,3,Guides a portion of and/or designs and leads the discovery process
CLIENT_VALUE,DEFAULT,Client Value,3,Guides the client throughout the project to ensure work product is geared towards solving their unique problems
CLIENT_VALUE,DEFAULT,Client Value,3,Contributes KPIs and/or goals for the project based on data gleaned during the discovery phase
CLIENT_VALUE,DEFAULT,Client Value,3,"Anticipates unusual issues and problems, taking steps to minimize impact on outcomes"
CLIENT_VALUE,DEFAULT,Client Value,3,"Through conversation and high-quality work, builds trust with the client in a sincere and authentic manner"
CLIENT_VALUE,DEFAULT,Client Value,3,Is viewed as a reliable resource to the client in their area of expertise
CLIENT_VALUE,DEFAULT,Client Value,3,Guides others to make successful client presentations
CLIENT_VALUE,DEFAULT,Client Value,3,Is self-aware and is able to adapt their communication style to meet the needs of the client
CLIENT_VALUE,DEFAULT,Client Value,4,Defines the client’s unique business problem
CLIENT_VALUE,DEFAULT,Client Value,4,Is viewed by the client as an expert in their cohort/area of expertise
CLIENT_VALUE,DEFAULT,Client Value,4,Sets up other team members for success on the project helping them get their expertise used to deliver value
CLIENT_VALUE,DEFAULT,Client Value,4,Coaches the client to be self-sufficient when appropriate
CLIENT_VALUE,DEFAULT,Client Value,4,"Has successful, difficult conversations with the client that amicably resolve the issue in a way that benefits Palantir and the client"
CLIENT_VALUE,DEFAULT,Client Value,5,Coaches those designing and leading the discovery process
CLIENT_VALUE,DEFAULT,Client Value,5,Coaches those defining the client’s unique business problem and guiding client in solving it
CLIENT_VALUE,DEFAULT,Client Value,5,Seeks out situations that are complex and guides others to find innovative solutions
CLIENT_VALUE,DEFAULT,Client Value,5,"Guides others to have successful, difficult conversations with the client"
CLIENT_VALUE,DEFAULT,Client Value,5,"Bases authority on experience, knowledge and relationship building, not position in the company"
BIZDEV,DEFAULT,New Business Development,1,Completes their work on time and within scope
BIZDEV,DEFAULT,New Business Development,1,Draws attention to blockers so that the team can help resolve or mitigate them
BIZDEV,DEFAULT,New Business Development,1,Understands the difference between a consultancy and an agency and approaches work with the mindset of a consultant
BIZDEV,DEFAULT,New Business Development,1,Is trusted by team members to deliver high quality work on time and on budget
BIZDEV,DEFAULT,New Business Development,2,Identifies opportunities for project growth and alerts project leadership
BIZDEV,DEFAULT,New Business Development,2,Understands the SOW (Statement of Work) and how their role and expertise fits in the project
